62,SH+RT-DMAC DBG/Coresight,0xE67E01F0,0x000C04030000FFFF,0xE67E21F0,0x0000000000000000
63,IPMMU RT,0xE67E01F8,0x0000000000000000,0xE67E21F8,0x0000000000000000
64,dummy,0xE67E0200,0x0000000000000000,0xE67E2200,0x0000000000000000
65,Secure Engine,0xE67E0208,0x000C04090000FFFF,0xE67E2208,0x0000000000000000
66,SH+RT-DMAC DBG/Coresight,0xE67E0210,0x000C04030000FFFF,0xE67E2210,0x0000000000000000
67,USB2 0/1/2+DMAC,0xE67E0218,0x0000000000000000,0xE67E2218,0x0011009005FFFC01
68,USB2-DDM,0xE67E0220,0x0000000000000000,0xE67E2220,0x0011009005FFFC01
69,IPMMU-HSC,0xE67E0228,0x0000000000000000,0xE67E2228,0x0000000000000000
70,USB2 0/1/2+DMAC,0xE67E0230,0x0000000000000000,0xE67E2230,0x0011009005FFFC01
71,USB2-DDM,0xE67E0238,0x0000000000000000,0xE67E2238,0x0011009005FFFC01
72,USB3,0xE67E0240,0x0000000000000000,0xE67E2240,0x0000000000000000
73,PCIe01,0xE67E0248,0x0000000000000000,0xE67E2248,0x0000000000000000
74,USB3,0xE67E0250,0x0000000000000000,0xE67E2250,0x0000000000000000
75,PCIe01,0xE67E0258,0x0000000000000000,0xE67E2258,0x0000000000000000
76,ADSP -> dummy,0xE67E0260,0x0000000000000000,0xE67E2260,0x0000000000000000
77,MLP+ (inc. DMAC64bit),0xE67E0268,0x001410040000FFFF,0xE67E2268,0x0000000000000000
78,Audio-DMAC,0xE67E0270,0x001404020000FFFF,0xE67E2270,0x0000000000000000
79,ADSP -> dummy,0xE67E0278,0x0000000000000000,0xE67E2278,0x0000000000000000
80,IPMMU-MP0,0xE67E0280,0x0000000000000000,0xE67E2280,0x0000000000000000
81,IPMMU-MP1,0xE67E0288,0x0000000000000000,0xE67E2288,0x0000000000000000
82,MLP+ (inc. DMAC64bit),0xE67E0290,0x001410040000FFFF,0xE67E2290,0x0000000000000000
83,Audio-DMAC,0xE67E0298,0x001404020200FFFF,0xE67E2298,0x0000000000000000
84,SDHI0/1/2/3,0xE67E02A0,0x000C04050000FFFF,0xE67E22A0,0x0000000000000000
85,SYS-DMAC1/2,0xE67E02A8,0x000C04050000FFFF,0xE67E22A8,0x0000000000000000
86,SSP1,0xE67E02B0,0x0000000000000000,0xE67E22B0,0x0000000000000000
87,DCU,0xE67E02B8,0x000C04020000FFFF,0xE67E22B8,0x0000000000000000
88,ipmmusy1m,0xE67E02C0,0x0000000000000000,0xE67E22C0,0x0000000000000000
89,ipmmuds1m,0xE67E02C8,0x0000000000000000,0xE67E22C8,0x0000000000000000
90,SDHI0/1/2/3,0xE67E02D0,0x000C04050000FFFF,0xE67E22D0,0x0000000000000000
91,SYS-DMAC1/2,0xE67E02D8,0x000C04050000FFFF,0xE67E22D8,0x0000000000000000
92,SSP1,0xE67E02E0,0x0000000000000000,0xE67E22E0,0x0000000000000000
93,DCU,0xE67E02E8,0x000C04020000FFFF,0xE67E22E8,0x0000000000000000
94,RGX0,0xE67E02F0,0x0000000000000000,0xE67E22F0,0x001101A005FFFC01
95,RGX0,0xE67E02F8,0x0000000000000000,0xE67E22F8,0x001101A005FFFC01
96,ipmmupvm,0xE67E0300,0x0000000000000000,0xE67E2300,0x0000000000000000
